trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.65704681981505675}",20,0,-91.96133263963358,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.65050909472331653}",25,0,-113.97173566044403,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.64403642108314141}",20,0,-2.0840727863520696,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.63762815162177333}",25,0,-50.855839183153215,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.63128364550692595}",20,0,-120.83818447906917,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.62500226828270078}",20,0,-59.481114072512725,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.61878339180614084}",25,17,6.317759758648576,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.61262639418441611}",20,2,-76.94361596604149,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.60653065971263342}",20,0,-56.25368566961064,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,0,-119.03337856570825,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.59452054797019438}",25,0,-50.03046754145745,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.58860496967835518}",20,0,-29.184005880970847,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.58274825237398964}",20,0,-38.69178327834785,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.57694981038048665}",35,13,-55.469099245689314,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.57120906384881487}",25,0,-117.906316454572,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.56552543869953709}",25,0,-10.038117912769986,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.55989836656540204}",20,16,7.05990860740748,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,0,-46.75394187213944,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-2.198647142440967,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.54335086907449981}",20,5,-46.89257660998509,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.01, 'e': 0.53794443759467447}",20,0,-29.580771179895002,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.53259180100689718}",20,0,-8.873119253969257,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.52729242404304855}",20,12,15.800021964848222,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.52204577676101604}",20,0,-36.603277642404535,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.51685133449169918}",25,0,-1.1702515660582635,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.51170857778654244}",30,2,-42.01965884699136,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.50661699236558955}",20,3,12.49220867927204,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.50157606906605545}",25,6,-58.28844717521844,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,18,-12.692800194452753,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,0,-95.74620284374028,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.48675225595997168}",20,0,-27.438984745095304,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,14,-1.7210683727243623,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.47711391552103438}",20,14,-2.023914363166295,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.47236655274101469}",25,15,12.531570091858153,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,3,-41.90578401937096,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",35,9,-107.17021685303197,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 3}",1
78,False,"{'a': 0.01, 'e': 0.45840601130522352}",30,10,6.335184364553617,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",25,0,-75.2467671525414,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,12,7.887637180331076,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.44485806622294111}",20,7,8.802645844151336,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,3,-24.13157065122028,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,0,-65.3428219513519,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",30,14,-22.955477219554453,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.42741493194872671}",25,3,-0.7284263955955983,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.42316208231774882}",30,13,16.68675420384897,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.418951549247639}",20,8,-13.879786031565462,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.41478291168158138}",20,11,-6.74421504289853,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,8,-23.82344475195821,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.40656965974059911}",30,16,-24.78960987863041,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,0,6.292479297948712,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,10,-17.571141015559007,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.39455371037160109}",20,14,-15.641679423026881,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.39062783535852108}",25,12,-33.06006655889372,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.38674102345450118}",30,13,7.807045248823993,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,0,4.889044880355863,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",25,8,-17.288585153243737,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",25,0,-7.115405787846479,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.37157669102204571}",20,0,-25.740382202882866,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",30,0,-82.33176527038808,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",1
101,False,"{'a': 0.01, 'e': 0.36421897957152333}",25,4,15.280554599686484,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,12,6.007997521517326,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.35700696056914738}",20,12,-19.291248074173648,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,0,-79.83409763488864,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
105,False,"{'a': 0.01, 'e': 0.34993774911115533}",20,0,-40.7424482345643,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,10,16.168534248608047,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,9,-0.2372576592436626,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
